split,threshold,weight,overall_roc_auc,overall_frr,overall_attack_block_rate,r_live_frr,r_live_n,live_overall_frr,print_block_rate,replay_block_rate
valid,0.2,5.0,0.8892852424362532,0.28735632183908044,0.8735632183908046,0.5,12,0.28735632183908044,1.0,0.8225806451612904
valid,0.25,5.0,0.8892852424362532,0.26436781609195403,0.8620689655172413,0.5,12,0.26436781609195403,1.0,0.8064516129032258
valid,0.3,5.0,0.8892852424362532,0.25287356321839083,0.8390804597701149,0.4166666666666667,12,0.25287356321839083,1.0,0.7741935483870968
valid,0.35,5.0,0.8892852424362532,0.21839080459770116,0.8275862068965517,0.3333333333333333,12,0.21839080459770116,0.96,0.7741935483870968
valid,0.4,5.0,0.8892852424362532,0.1839080459770115,0.8160919540229885,0.16666666666666666,12,0.1839080459770115,0.96,0.7580645161290323
valid,0.45,5.0,0.8892852424362532,0.1839080459770115,0.8045977011494253,0.16666666666666666,12,0.1839080459770115,0.96,0.7419354838709677
valid,0.5,5.0,0.8892852424362532,0.1724137931034483,0.7816091954022989,0.16666666666666666,12,0.1724137931034483,0.96,0.7096774193548387
valid,0.55,5.0,0.8892852424362532,0.14942528735632185,0.7126436781609196,0.16666666666666666,12,0.14942528735632185,0.96,0.6129032258064516
valid,0.6,5.0,0.8892852424362532,0.11494252873563218,0.6781609195402298,0.16666666666666666,12,0.11494252873563218,0.92,0.5806451612903226
valid,0.65,5.0,0.8892852424362532,0.09195402298850575,0.6666666666666666,0.08333333333333333,12,0.09195402298850575,0.92,0.5645161290322581
valid,0.7,5.0,0.8892852424362532,0.09195402298850575,0.5862068965517241,0.08333333333333333,12,0.09195402298850575,0.84,0.4838709677419355
valid,0.75,5.0,0.8892852424362532,0.09195402298850575,0.5517241379310345,0.08333333333333333,12,0.09195402298850575,0.8,0.45161290322580644
valid,0.8,5.0,0.8892852424362532,0.05747126436781609,0.4827586206896552,0.0,12,0.05747126436781609,0.76,0.3709677419354839
valid,0.85,5.0,0.8892852424362532,0.034482758620689655,0.4367816091954023,0.0,12,0.034482758620689655,0.76,0.3064516129032258
valid,0.9,5.0,0.8892852424362532,0.034482758620689655,0.3333333333333333,0.0,12,0.034482758620689655,0.72,0.1774193548387097
valid,0.95,5.0,0.8892852424362532,0.0,0.21839080459770116,0.0,12,0.0,0.68,0.03225806451612903
test,0.2,5.0,0.8573509636934111,0.25773195876288657,0.7934782608695652,0.6666666666666666,21,0.25773195876288657,0.9285714285714286,0.734375
test,0.25,5.0,0.8573509636934111,0.25773195876288657,0.7608695652173914,0.6666666666666666,21,0.25773195876288657,0.9285714285714286,0.6875
test,0.3,5.0,0.8573509636934111,0.24742268041237114,0.7065217391304348,0.6190476190476191,21,0.24742268041237114,0.9285714285714286,0.609375
test,0.35,5.0,0.8573509636934111,0.1958762886597938,0.6847826086956522,0.47619047619047616,21,0.1958762886597938,0.9285714285714286,0.578125
test,0.4,5.0,0.8573509636934111,0.17525773195876287,0.6739130434782609,0.42857142857142855,21,0.17525773195876287,0.9285714285714286,0.5625
test,0.45,5.0,0.8573509636934111,0.17525773195876287,0.6413043478260869,0.42857142857142855,21,0.17525773195876287,0.9285714285714286,0.515625
test,0.5,5.0,0.8573509636934111,0.16494845360824742,0.6413043478260869,0.38095238095238093,21,0.16494845360824742,0.9285714285714286,0.515625
test,0.55,5.0,0.8573509636934111,0.15463917525773196,0.6195652173913043,0.38095238095238093,21,0.15463917525773196,0.9285714285714286,0.484375
test,0.6,5.0,0.8573509636934111,0.12371134020618557,0.5978260869565217,0.23809523809523808,21,0.12371134020618557,0.8928571428571429,0.46875
test,0.65,5.0,0.8573509636934111,0.1134020618556701,0.5543478260869565,0.19047619047619047,21,0.1134020618556701,0.8928571428571429,0.40625
test,0.7,5.0,0.8573509636934111,0.09278350515463918,0.5217391304347826,0.19047619047619047,21,0.09278350515463918,0.8214285714285714,0.390625
test,0.75,5.0,0.8573509636934111,0.07216494845360824,0.45652173913043476,0.19047619047619047,21,0.07216494845360824,0.7857142857142857,0.3125
test,0.8,5.0,0.8573509636934111,0.061855670103092786,0.40217391304347827,0.14285714285714285,21,0.061855670103092786,0.75,0.25
test,0.85,5.0,0.8573509636934111,0.041237113402061855,0.32608695652173914,0.09523809523809523,21,0.041237113402061855,0.7142857142857143,0.15625
test,0.9,5.0,0.8573509636934111,0.020618556701030927,0.20652173913043478,0.047619047619047616,21,0.020618556701030927,0.6071428571428571,0.03125
test,0.95,5.0,0.8573509636934111,0.020618556701030927,0.16304347826086957,0.047619047619047616,21,0.020618556701030927,0.5357142857142857,0.0
