epoch,train_loss,val_auc,val_f1_0_5,val_far_0_5,val_frr_0_5
1,0.8475419174541127,0.42977936319196725,0.5882352941176471,0.25287356321839083,0.7931034482758621
2,0.8455539779229597,0.4543532831285506,0.6018518518518519,0.25287356321839083,0.735632183908046
3,0.8264457529241388,0.47509578544061304,0.6037735849056604,0.26436781609195403,0.7011494252873564
4,0.81414010849866,0.5025762980578676,0.6009852216748769,0.2988505747126437,0.632183908045977
5,0.8080440705472772,0.5404941207557141,0.5846153846153846,0.3448275862068966,0.5862068965517241
6,0.805680513381958,0.5638789800502048,0.5683060109289617,0.40229885057471265,0.5057471264367817
7,0.7967854684049432,0.5921521997621879,0.5780346820809249,0.42528735632183906,0.41379310344827586
8,0.7798268469897184,0.6183115338882283,0.5408805031446541,0.5057471264367817,0.3333333333333333
9,0.7648175467144359,0.6497555819791254,0.5503355704697986,0.5287356321839081,0.2413793103448276
10,0.7670419053597883,0.6810675122209011,0.547945205479452,0.5402298850574713,0.21839080459770116
11,0.7477693015878851,0.717532038578412,0.5454545454545454,0.5517241379310345,0.19540229885057472
12,0.7305832451040094,0.7456731404412735,0.5390070921985816,0.5632183908045977,0.1839080459770115
13,0.7269993586973711,0.7685295283392786,0.5179856115107914,0.5862068965517241,0.1839080459770115
14,0.7081868106668646,0.7894041485004624,0.49635036496350365,0.6091954022988506,0.1839080459770115
15,0.699028573252938,0.7969348659003831,0.5179856115107914,0.5862068965517241,0.1839080459770115
16,0.6646186004985463,0.7991808693354472,0.5492957746478874,0.5517241379310345,0.1839080459770115
17,0.6529254425655712,0.7945567446161976,0.6233766233766234,0.4482758620689655,0.21839080459770116
18,0.6233158653432672,0.7903289734443124,0.6748466257668712,0.367816091954023,0.2413793103448276
19,0.6316701824014838,0.7862333201215485,0.6790123456790124,0.367816091954023,0.22988505747126436
20,0.5818094584074888,0.7842515523847271,0.6545454545454545,0.3793103448275862,0.27586206896551724
21,0.564844472841783,0.7863654379706698,0.6583850931677019,0.39080459770114945,0.2413793103448276
22,0.5688184635205702,0.7876866164618841,0.6707317073170732,0.367816091954023,0.25287356321839083
23,0.5419036881490187,0.7846479059320914,0.7142857142857143,0.3103448275862069,0.2413793103448276
24,0.5477682162414897,0.7982560443915974,0.6751592356687898,0.39080459770114945,0.19540229885057472
25,0.5131018947471272,0.809882415114282,0.6623376623376623,0.41379310344827586,0.1839080459770115
26,0.5172415213151411,0.8152992469282601,0.6405228758169934,0.4367816091954023,0.19540229885057472
27,0.4851696355776353,0.8164883075703527,0.6580645161290323,0.41379310344827586,0.19540229885057472
28,0.47877630591392517,0.8126568899458317,0.6832298136645962,0.367816091954023,0.21839080459770116
29,0.46633760224689136,0.8213766679878451,0.6493506493506493,0.42528735632183906,0.19540229885057472
30,0.4423576051538641,0.8168846611177171,0.7108433734939759,0.3218390804597701,0.22988505747126436
31,0.4361127262765711,0.8287752675386444,0.7037037037037037,0.3448275862068966,0.20689655172413793
32,0.41678185896439984,0.8303606817281015,0.6993865030674846,0.3448275862068966,0.21839080459770116
33,0.4051302563060414,0.8324745673140441,0.7073170731707317,0.3333333333333333,0.21839080459770116
34,0.4035211151296442,0.8402695204122077,0.718562874251497,0.3103448275862069,0.22988505747126436
35,0.3784747394648465,0.842911877394636,0.7368421052631579,0.27586206896551724,0.2413793103448276
36,0.37713631174781104,0.8497820055489496,0.768361581920904,0.21839080459770116,0.25287356321839083
37,0.39245088262991473,0.8458184700753071,0.7542857142857143,0.2413793103448276,0.25287356321839083
38,0.3583904206752777,0.8474038842647641,0.7151515151515152,0.3218390804597701,0.21839080459770116
39,0.37440959160978143,0.8583696657418418,0.7542857142857143,0.2413793103448276,0.25287356321839083
40,0.3498668453910134,0.8656361474435197,0.7771428571428571,0.21839080459770116,0.22988505747126436
41,0.35774130441925744,0.8664288545382481,0.770949720670391,0.20689655172413793,0.26436781609195403
42,0.3397495990449732,0.8688069758224336,0.7630057803468208,0.2413793103448276,0.22988505747126436
43,0.3691326813264327,0.8670894437838552,0.7640449438202247,0.21839080459770116,0.26436781609195403
44,0.3275058906186711,0.8701281543136478,0.7657142857142857,0.22988505747126436,0.2413793103448276
45,0.3260968815196644,0.8680142687277052,0.7727272727272727,0.21839080459770116,0.2413793103448276
46,0.3125170523470098,0.8734311005416832,0.7752808988764045,0.20689655172413793,0.25287356321839083
47,0.32968480614098633,0.8756771039767473,0.7771428571428571,0.21839080459770116,0.22988505747126436
48,0.35521056977185334,0.8738274540890474,0.7349397590361446,0.2988505747126437,0.20689655172413793
49,0.30755277655341406,0.8910027744748314,0.7932960893854749,0.1839080459770115,0.2413793103448276
50,0.3010142201727087,0.8874355925485533,0.7840909090909091,0.20689655172413793,0.22988505747126436
51,0.3257234733213078,0.884793235566125,0.7745664739884393,0.22988505747126436,0.21839080459770116
52,0.2858146205544472,0.8910027744748314,0.7909604519774012,0.19540229885057472,0.22988505747126436
53,0.28626461259343405,0.8890210067380102,0.7909604519774012,0.19540229885057472,0.22988505747126436
54,0.2783421995964917,0.8850574712643677,0.7619047619047619,0.26436781609195403,0.19540229885057472
55,0.27695418758825824,0.8801691108468754,0.7692307692307693,0.25287356321839083,0.19540229885057472
56,0.28173090382055804,0.884793235566125,0.7719298245614035,0.2413793103448276,0.20689655172413793
57,0.2823815250938589,0.8867750033029462,0.7701149425287356,0.22988505747126436,0.22988505747126436
58,0.26702397790822113,0.8874355925485533,0.7816091954022989,0.21839080459770116,0.21839080459770116
59,0.2747062715617093,0.8924560708151671,0.8068181818181818,0.1839080459770115,0.20689655172413793
