threshold,accuracy,precision_spoof,recall_spoof,f1_spoof,roc_auc,pr_auc,far_attack_pass_rate,frr_genuine_reject_rate,attack_pass_rate,attack_block_rate,genuine_pass_rate,tn,fp,fn,tp,n,positive_spoof_count,negative_live_count,model,split,inference_time_ms_per_sample,parameter_count,feature_mode,selected_feature_count
0.26,0.8275862068965517,0.7766990291262136,0.9195402298850575,0.8421052631578947,0.9084423305588585,0.9089012574938192,0.08045977011494253,0.26436781609195403,0.08045977011494253,0.9195402298850575,0.735632183908046,64,23,7,80,174,87,87,gru_all,valid,0.03636486182021426,5217,all,20
0.26,0.7354497354497355,0.71875,0.75,0.7340425531914894,0.8524204392649036,0.8096034071377702,0.25,0.27835051546391754,0.25,0.75,0.7216494845360825,70,27,23,69,189,92,97,gru_all,test,0.03153243916424573,5217,all,20
