epoch,train_loss,val_auc,val_f1_0_5,val_far_0_5,val_frr_0_5
1,0.8572188453240828,0.34039836567926457,0.5932203389830508,0.21348314606741572,0.875
2,0.8327569473873485,0.40526046986721137,0.5877192982456141,0.24719101123595505,0.8181818181818182
3,0.8276432264934886,0.47344228804902966,0.5727272727272728,0.29213483146067415,0.7727272727272727
4,0.8148955160921271,0.5197906026557712,0.5490196078431373,0.3707865168539326,0.6704545454545454
5,0.8142239505594427,0.5573289070480082,0.5416666666666666,0.4157303370786517,0.5795454545454546
6,0.8020350499586626,0.5887385086823289,0.5604395604395604,0.42696629213483145,0.4772727272727273
7,0.7926578304984353,0.6193820224719101,0.5964912280701754,0.42696629213483145,0.3522727272727273
8,0.7849517356265675,0.6433861082737488,0.6181818181818182,0.42696629213483145,0.2840909090909091
9,0.7740376808426597,0.6638151174668028,0.6049382716049383,0.449438202247191,0.2727272727272727
10,0.7602892030369152,0.6822012257405516,0.6125,0.449438202247191,0.25
11,0.7581923604011536,0.7021195097037793,0.620253164556962,0.449438202247191,0.22727272727272727
12,0.7314633618701588,0.7175689479060265,0.6282051282051282,0.449438202247191,0.20454545454545456
13,0.7182639837265015,0.7387640449438203,0.6580645161290323,0.42696629213483145,0.17045454545454544
14,0.6961010315201499,0.7574055158324821,0.6493506493506493,0.43820224719101125,0.17045454545454544
15,0.6837616833773527,0.7759193054136874,0.6580645161290323,0.42696629213483145,0.17045454545454544
16,0.6674365130337802,0.791241062308478,0.6918238993710691,0.38202247191011235,0.17045454545454544
17,0.6251903067935597,0.7939223697650664,0.6666666666666666,0.39325842696629215,0.2159090909090909
18,0.6175724240866575,0.7989019407558733,0.6748466257668712,0.38202247191011235,0.2159090909090909
19,0.5713757032697852,0.8013278855975485,0.6790123456790124,0.38202247191011235,0.20454545454545456
20,0.5610529699108817,0.8063074565883555,0.6708074534161491,0.39325842696629215,0.20454545454545456
21,0.547303625128486,0.8078396322778345,0.6829268292682927,0.3707865168539326,0.2159090909090909
22,0.5845474682070992,0.8078396322778345,0.6785714285714286,0.3595505617977528,0.25
23,0.5512859306552194,0.8029877425944842,0.6823529411764706,0.34831460674157305,0.26136363636363635
24,0.5287016928195953,0.8063074565883555,0.6900584795321637,0.33707865168539325,0.26136363636363635
25,0.5164559293876995,0.8080949948927477,0.6823529411764706,0.34831460674157305,0.26136363636363635
26,0.4965639520775188,0.8160112359550562,0.6863905325443787,0.34831460674157305,0.25
27,0.4943903549150987,0.8177987742594485,0.6863905325443787,0.34831460674157305,0.25
28,0.49582370844754303,0.8198416751787538,0.6666666666666666,0.3707865168539326,0.26136363636363635
29,0.48252640529112384,0.8226506639427987,0.6625766871165644,0.39325842696629215,0.22727272727272727
30,0.4508847377517007,0.8212461695607763,0.6785714285714286,0.3595505617977528,0.25
31,0.4568287269635634,0.8193309499489275,0.6783625730994152,0.34831460674157305,0.2727272727272727
32,0.4621781192042611,0.8199693564862104,0.6900584795321637,0.33707865168539325,0.26136363636363635
33,0.4527204551480033,0.8199693564862104,0.6976744186046512,0.3258426966292135,0.26136363636363635
34,0.4281538426876068,0.8252042900919305,0.7134502923976608,0.3146067415730337,0.23863636363636365
35,0.4298404644836079,0.8269918283963228,0.7314285714285714,0.2808988764044944,0.25
36,0.41424778645688837,0.8269918283963228,0.7344632768361582,0.2696629213483146,0.26136363636363635
37,0.4120999439196153,0.8300561797752808,0.7167630057803468,0.30337078651685395,0.25
38,0.3880710249597376,0.8268641470888661,0.7344632768361582,0.2696629213483146,0.26136363636363635
39,0.40296528014269745,0.8349080694586313,0.72,0.29213483146067415,0.26136363636363635
40,0.3798996264284307,0.8310776302349336,0.7415730337078652,0.25842696629213485,0.26136363636363635
41,0.40000834519212897,0.8378447395301327,0.735632183908046,0.2808988764044944,0.23863636363636365
42,0.3845705173232339,0.8419305413687437,0.735632183908046,0.2808988764044944,0.23863636363636365
43,0.39751398021524603,0.8462717058222675,0.735632183908046,0.2808988764044944,0.23863636363636365
44,0.3633460429581729,0.8410367722165475,0.7314285714285714,0.2808988764044944,0.25
45,0.3380836316130378,0.8426966292134831,0.7209302325581395,0.30337078651685395,0.23863636363636365
46,0.3572437979958274,0.8441011235955056,0.7218934911242604,0.3146067415730337,0.2159090909090909
47,0.3449732187119397,0.8467824310520939,0.7209302325581395,0.30337078651685395,0.23863636363636365
48,0.3558699434453791,0.8516343207354444,0.7386363636363636,0.2696629213483146,0.25
49,0.3387734754519029,0.8508682328907049,0.7386363636363636,0.2696629213483146,0.25
50,0.3289018219167536,0.8438457609805925,0.6982248520710059,0.33707865168539325,0.23863636363636365
51,0.3205806477503343,0.8400153217568949,0.6909090909090909,0.3595505617977528,0.2159090909090909
52,0.3219477290456945,0.8416751787538305,0.6946107784431138,0.34831460674157305,0.22727272727272727
53,0.3076657151634043,0.8410367722165475,0.7093023255813954,0.3146067415730337,0.25
54,0.3003952062942765,0.8443564862104189,0.7159090909090909,0.29213483146067415,0.2727272727272727
55,0.3144107217138464,0.8448672114402451,0.7252747252747253,0.25842696629213485,0.3068181818181818
56,0.2963033630089326,0.8432073544433094,0.6982248520710059,0.33707865168539325,0.23863636363636365
57,0.29986024580218573,0.8379724208375894,0.7159090909090909,0.29213483146067415,0.2727272727272727
58,0.28986258940263226,0.8393769152196118,0.7017543859649122,0.3258426966292135,0.25
59,0.29592004689303314,0.8423135852911134,0.7272727272727273,0.2808988764044944,0.26136363636363635
60,0.31583545966581866,0.8407814096016344,0.6976744186046512,0.3258426966292135,0.26136363636363635
61,0.28122305192730646,0.8281409601634321,0.6976744186046512,0.3258426966292135,0.26136363636363635
62,0.31456678022037854,0.827247191011236,0.6820809248554913,0.33707865168539325,0.2840909090909091
63,0.26466536115516315,0.8301838610827375,0.6896551724137931,0.3258426966292135,0.2840909090909091
