threshold,accuracy,precision_spoof,recall_spoof,f1_spoof,roc_auc,pr_auc,far_attack_pass_rate,frr_genuine_reject_rate,attack_pass_rate,attack_block_rate,genuine_pass_rate,tn,fp,fn,tp,n,positive_spoof_count,negative_live_count,model,split,group_name,group_value
0.18000000000000002,0.6896551724137931,0.0,0.0,0.0,,,,0.3103448275862069,,,0.6896551724137931,60,27,0,0,87,0,87,gru_v3_w10.0,valid,attack_type,live
0.18000000000000002,0.92,1.0,0.92,0.9583333333333334,,,0.08,,0.08,0.92,,0,0,2,23,25,25,0,gru_v3_w10.0,valid,attack_type,print
0.18000000000000002,0.8870967741935484,1.0,0.8870967741935484,0.9401709401709402,,,0.11290322580645161,,0.11290322580645161,0.8870967741935484,,0,0,7,55,62,62,0,gru_v3_w10.0,valid,attack_type,replay
0.18000000000000002,0.75,1.0,0.75,0.8571428571428571,,,0.25,,0.25,0.75,,0,0,7,21,28,28,0,gru_v3_w10.0,valid,source_group,ATK_external_clip
0.18000000000000002,0.5,0.0,0.0,0.0,,,,0.5,,,0.5,6,6,0,0,12,0,12,gru_v3_w10.0,valid,source_group,R_live_clip
0.18000000000000002,0.8492063492063492,0.7432432432432432,1.0,0.8527131782945736,0.923943661971831,0.8927549720106441,0.0,0.2676056338028169,0.0,1.0,0.7323943661971831,52,19,0,55,126,55,71,gru_v3_w10.0,valid,source_group,S_dataset_sequence
0.18000000000000002,0.5,0.5,0.5,0.5,0.5,0.5249999999999999,0.5,0.5,0.5,0.5,0.5,2,2,2,2,8,4,4,gru_v3_w10.0,valid,source_group,unknown
0.18000000000000002,0.7010309278350515,0.0,0.0,0.0,,,,0.29896907216494845,,,0.7010309278350515,68,29,0,0,97,0,97,gru_v3_w10.0,test,attack_type,live
0.18000000000000002,0.9285714285714286,1.0,0.9285714285714286,0.9629629629629629,,,0.07142857142857142,,0.07142857142857142,0.9285714285714286,,0,0,2,26,28,28,0,gru_v3_w10.0,test,attack_type,print
0.18000000000000002,0.75,1.0,0.75,0.8571428571428571,,,0.25,,0.25,0.75,,0,0,16,48,64,64,0,gru_v3_w10.0,test,attack_type,replay
0.18000000000000002,0.78125,1.0,0.78125,0.8771929824561403,,,0.21875,,0.21875,0.78125,,0,0,7,25,32,32,0,gru_v3_w10.0,test,source_group,ATK_external_clip
0.18000000000000002,0.2857142857142857,0.0,0.0,0.0,,,,0.7142857142857143,,,0.2857142857142857,6,15,0,0,21,0,21,gru_v3_w10.0,test,source_group,R_live_clip
0.18000000000000002,0.828125,0.7833333333333333,0.8392857142857143,0.8103448275862069,0.9315476190476191,0.9102234315353128,0.16071428571428573,0.18055555555555555,0.16071428571428573,0.8392857142857143,0.8194444444444444,59,13,9,47,128,56,72,gru_v3_w10.0,test,source_group,S_dataset_sequence
0.18000000000000002,0.625,0.6666666666666666,0.5,0.5714285714285714,0.625,0.6083333333333333,0.5,0.25,0.5,0.5,0.75,3,1,2,2,8,4,4,gru_v3_w10.0,test,source_group,unknown
