split,threshold,weight,overall_roc_auc,overall_frr,overall_attack_block_rate,r_live_frr,r_live_n,live_overall_frr,print_block_rate,replay_block_rate
valid,0.2,10.0,0.8740916897872903,0.28735632183908044,0.8735632183908046,0.4166666666666667,12,0.28735632183908044,0.88,0.8709677419354839
valid,0.25,10.0,0.8740916897872903,0.27586206896551724,0.8275862068965517,0.3333333333333333,12,0.27586206896551724,0.88,0.8064516129032258
valid,0.3,10.0,0.8740916897872903,0.27586206896551724,0.8045977011494253,0.3333333333333333,12,0.27586206896551724,0.88,0.7741935483870968
valid,0.35,10.0,0.8740916897872903,0.25287356321839083,0.8045977011494253,0.25,12,0.25287356321839083,0.88,0.7741935483870968
valid,0.4,10.0,0.8740916897872903,0.21839080459770116,0.7701149425287356,0.25,12,0.21839080459770116,0.88,0.7258064516129032
valid,0.45,10.0,0.8740916897872903,0.21839080459770116,0.7126436781609196,0.25,12,0.21839080459770116,0.8,0.6774193548387096
valid,0.5,10.0,0.8740916897872903,0.1724137931034483,0.6781609195402298,0.25,12,0.1724137931034483,0.8,0.6290322580645161
valid,0.55,10.0,0.8740916897872903,0.11494252873563218,0.6551724137931034,0.25,12,0.11494252873563218,0.8,0.5967741935483871
valid,0.6,10.0,0.8740916897872903,0.09195402298850575,0.5977011494252874,0.16666666666666666,12,0.09195402298850575,0.8,0.5161290322580645
valid,0.65,10.0,0.8740916897872903,0.08045977011494253,0.5517241379310345,0.08333333333333333,12,0.08045977011494253,0.76,0.46774193548387094
valid,0.7,10.0,0.8740916897872903,0.05747126436781609,0.47126436781609193,0.08333333333333333,12,0.05747126436781609,0.72,0.3709677419354839
valid,0.75,10.0,0.8740916897872903,0.05747126436781609,0.42528735632183906,0.08333333333333333,12,0.05747126436781609,0.68,0.3225806451612903
valid,0.8,10.0,0.8740916897872903,0.022988505747126436,0.3448275862068966,0.0,12,0.022988505747126436,0.64,0.22580645161290322
valid,0.85,10.0,0.8740916897872903,0.0,0.28735632183908044,0.0,12,0.0,0.64,0.14516129032258066
valid,0.9,10.0,0.8740916897872903,0.0,0.19540229885057472,0.0,12,0.0,0.52,0.06451612903225806
valid,0.95,10.0,0.8740916897872903,0.0,0.12643678160919541,0.0,12,0.0,0.44,0.0
test,0.2,10.0,0.8697893321380546,0.29896907216494845,0.8043478260869565,0.7142857142857143,21,0.29896907216494845,0.9285714285714286,0.75
test,0.25,10.0,0.8697893321380546,0.27835051546391754,0.7391304347826086,0.6666666666666666,21,0.27835051546391754,0.9285714285714286,0.65625
test,0.3,10.0,0.8697893321380546,0.2268041237113402,0.717391304347826,0.47619047619047616,21,0.2268041237113402,0.9285714285714286,0.625
test,0.35,10.0,0.8697893321380546,0.16494845360824742,0.7065217391304348,0.2857142857142857,21,0.16494845360824742,0.9285714285714286,0.609375
test,0.4,10.0,0.8697893321380546,0.14432989690721648,0.6739130434782609,0.2857142857142857,21,0.14432989690721648,0.8928571428571429,0.578125
test,0.45,10.0,0.8697893321380546,0.12371134020618557,0.6521739130434783,0.2857142857142857,21,0.12371134020618557,0.8928571428571429,0.546875
test,0.5,10.0,0.8697893321380546,0.12371134020618557,0.6195652173913043,0.2857142857142857,21,0.12371134020618557,0.8928571428571429,0.5
test,0.55,10.0,0.8697893321380546,0.10309278350515463,0.6086956521739131,0.2857142857142857,21,0.10309278350515463,0.8571428571428571,0.5
test,0.6,10.0,0.8697893321380546,0.05154639175257732,0.5869565217391305,0.14285714285714285,21,0.05154639175257732,0.8214285714285714,0.484375
test,0.65,10.0,0.8697893321380546,0.041237113402061855,0.5434782608695652,0.09523809523809523,21,0.041237113402061855,0.8214285714285714,0.421875
test,0.7,10.0,0.8697893321380546,0.041237113402061855,0.4782608695652174,0.09523809523809523,21,0.041237113402061855,0.7857142857142857,0.34375
test,0.75,10.0,0.8697893321380546,0.041237113402061855,0.3804347826086957,0.09523809523809523,21,0.041237113402061855,0.7142857142857143,0.234375
test,0.8,10.0,0.8697893321380546,0.030927835051546393,0.30434782608695654,0.09523809523809523,21,0.030927835051546393,0.7142857142857143,0.125
test,0.85,10.0,0.8697893321380546,0.010309278350515464,0.21739130434782608,0.0,21,0.010309278350515464,0.6428571428571429,0.03125
test,0.9,10.0,0.8697893321380546,0.010309278350515464,0.16304347826086957,0.0,21,0.010309278350515464,0.5357142857142857,0.0
test,0.95,10.0,0.8697893321380546,0.010309278350515464,0.13043478260869565,0.0,21,0.010309278350515464,0.42857142857142855,0.0
