split,n,threshold,accuracy,precision_spoof,recall_spoof,f1_spoof,roc_auc,pr_auc,attack_block_rate,attack_pass_rate,genuine_pass_rate,frr_genuine_reject_rate,tn,fp,fn,tp
valid,169,0.21,0.8106508875739645,0.7476635514018691,0.9411764705882352,0.8333333333333334,0.884313725490196,0.8731663696936254,0.9411764705882352,0.0588235294117647,0.6785714285714286,0.3214285714285714,57,27,5,80
test,183,0.21,0.819672131147541,0.7614678899082569,0.9222222222222224,0.8341708542713567,0.8452807646356033,0.7968202686075638,0.9222222222222224,0.0777777777777777,0.7204301075268817,0.2795698924731182,67,26,7,83
