split,threshold,weight,overall_roc_auc,overall_frr,overall_attack_block_rate,r_live_frr,r_live_n,live_overall_frr,print_block_rate,replay_block_rate
valid,0.2,3.0,0.9051393843308231,0.3448275862068966,0.9310344827586207,0.9166666666666666,12,0.3448275862068966,1.0,0.9032258064516129
valid,0.25,3.0,0.9051393843308231,0.3218390804597701,0.9310344827586207,0.9166666666666666,12,0.3218390804597701,1.0,0.9032258064516129
valid,0.3,3.0,0.9051393843308231,0.3103448275862069,0.896551724137931,0.8333333333333334,12,0.3103448275862069,0.96,0.8709677419354839
valid,0.35,3.0,0.9051393843308231,0.27586206896551724,0.896551724137931,0.6666666666666666,12,0.27586206896551724,0.96,0.8709677419354839
valid,0.4,3.0,0.9051393843308231,0.27586206896551724,0.8735632183908046,0.6666666666666666,12,0.27586206896551724,0.96,0.8387096774193549
valid,0.45,3.0,0.9051393843308231,0.21839080459770116,0.8620689655172413,0.5833333333333334,12,0.21839080459770116,0.96,0.8225806451612904
valid,0.5,3.0,0.9051393843308231,0.1724137931034483,0.8505747126436781,0.3333333333333333,12,0.1724137931034483,0.96,0.8064516129032258
valid,0.55,3.0,0.9051393843308231,0.14942528735632185,0.7816091954022989,0.3333333333333333,12,0.14942528735632185,0.96,0.7096774193548387
valid,0.6,3.0,0.9051393843308231,0.12643678160919541,0.735632183908046,0.25,12,0.12643678160919541,0.96,0.6451612903225806
valid,0.65,3.0,0.9051393843308231,0.10344827586206896,0.7126436781609196,0.16666666666666666,12,0.10344827586206896,0.92,0.6290322580645161
valid,0.7,3.0,0.9051393843308231,0.09195402298850575,0.6781609195402298,0.16666666666666666,12,0.09195402298850575,0.92,0.5806451612903226
valid,0.75,3.0,0.9051393843308231,0.09195402298850575,0.5977011494252874,0.16666666666666666,12,0.09195402298850575,0.8,0.5161290322580645
valid,0.8,3.0,0.9051393843308231,0.06896551724137931,0.5287356321839081,0.08333333333333333,12,0.06896551724137931,0.8,0.41935483870967744
valid,0.85,3.0,0.9051393843308231,0.034482758620689655,0.4482758620689655,0.0,12,0.034482758620689655,0.8,0.3064516129032258
valid,0.9,3.0,0.9051393843308231,0.0,0.3448275862068966,0.0,12,0.0,0.72,0.1935483870967742
valid,0.95,3.0,0.9051393843308231,0.0,0.26436781609195403,0.0,12,0.0,0.64,0.11290322580645161
test,0.2,3.0,0.8570147915732855,0.30927835051546393,0.7934782608695652,0.7619047619047619,21,0.30927835051546393,0.9285714285714286,0.734375
test,0.25,3.0,0.8570147915732855,0.30927835051546393,0.7717391304347826,0.7619047619047619,21,0.30927835051546393,0.9285714285714286,0.703125
test,0.3,3.0,0.8570147915732855,0.27835051546391754,0.75,0.7142857142857143,21,0.27835051546391754,0.9285714285714286,0.671875
test,0.35,3.0,0.8570147915732855,0.25773195876288657,0.7282608695652174,0.7142857142857143,21,0.25773195876288657,0.9285714285714286,0.640625
test,0.4,3.0,0.8570147915732855,0.21649484536082475,0.7065217391304348,0.6190476190476191,21,0.21649484536082475,0.9285714285714286,0.609375
test,0.45,3.0,0.8570147915732855,0.21649484536082475,0.6739130434782609,0.6190476190476191,21,0.21649484536082475,0.9285714285714286,0.5625
test,0.5,3.0,0.8570147915732855,0.16494845360824742,0.6739130434782609,0.42857142857142855,21,0.16494845360824742,0.9285714285714286,0.5625
test,0.55,3.0,0.8570147915732855,0.14432989690721648,0.6521739130434783,0.38095238095238093,21,0.14432989690721648,0.9285714285714286,0.53125
test,0.6,3.0,0.8570147915732855,0.14432989690721648,0.6413043478260869,0.38095238095238093,21,0.14432989690721648,0.9285714285714286,0.515625
test,0.65,3.0,0.8570147915732855,0.14432989690721648,0.6304347826086957,0.38095238095238093,21,0.14432989690721648,0.9285714285714286,0.5
test,0.7,3.0,0.8570147915732855,0.14432989690721648,0.6195652173913043,0.38095238095238093,21,0.14432989690721648,0.8928571428571429,0.5
test,0.75,3.0,0.8570147915732855,0.1134020618556701,0.5869565217391305,0.2857142857142857,21,0.1134020618556701,0.8571428571428571,0.46875
test,0.8,3.0,0.8570147915732855,0.07216494845360824,0.5543478260869565,0.19047619047619047,21,0.07216494845360824,0.7857142857142857,0.453125
test,0.85,3.0,0.8570147915732855,0.05154639175257732,0.43478260869565216,0.14285714285714285,21,0.05154639175257732,0.75,0.296875
test,0.9,3.0,0.8570147915732855,0.030927835051546393,0.2826086956521739,0.09523809523809523,21,0.030927835051546393,0.6428571428571429,0.125
test,0.95,3.0,0.8570147915732855,0.030927835051546393,0.14130434782608695,0.09523809523809523,21,0.030927835051546393,0.4642857142857143,0.0
