threshold,accuracy,precision_spoof,recall_spoof,f1_spoof,roc_auc,pr_auc,far_attack_pass_rate,frr_genuine_reject_rate,attack_pass_rate,attack_block_rate,genuine_pass_rate,tn,fp,fn,tp,n,positive_spoof_count,negative_live_count,model,split,group_name,group_value
0.5,0.8275862068965517,0.0,0.0,0.0,,,,0.1724137931034483,,,0.8275862068965517,72,15,0,0,87,0,87,gru_v3_w3.0,valid,attack_type,live
0.5,0.96,1.0,0.96,0.9795918367346939,,,0.04,,0.04,0.96,,0,0,1,24,25,25,0,gru_v3_w3.0,valid,attack_type,print
0.5,0.8064516129032258,1.0,0.8064516129032258,0.8928571428571429,,,0.1935483870967742,,0.1935483870967742,0.8064516129032258,,0,0,12,50,62,62,0,gru_v3_w3.0,valid,attack_type,replay
0.5,0.8214285714285714,1.0,0.8214285714285714,0.9019607843137255,,,0.17857142857142858,,0.17857142857142858,0.8214285714285714,,0,0,5,23,28,28,0,gru_v3_w3.0,valid,source_group,ATK_external_clip
0.5,0.6666666666666666,0.0,0.0,0.0,,,,0.3333333333333333,,,0.6666666666666666,8,4,0,0,12,0,12,gru_v3_w3.0,valid,source_group,R_live_clip
0.5,0.8809523809523809,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.9370038412291934,0.9025265091668204,0.09090909090909091,0.14084507042253522,0.09090909090909091,0.9090909090909091,0.8591549295774648,61,10,5,50,126,55,71,gru_v3_w3.0,valid,source_group,S_dataset_sequence
0.5,0.5,0.5,0.25,0.3333333333333333,0.5,0.5428571428571428,0.75,0.25,0.75,0.25,0.75,3,1,3,1,8,4,4,gru_v3_w3.0,valid,source_group,unknown
0.5,0.8350515463917526,0.0,0.0,0.0,,,,0.16494845360824742,,,0.8350515463917526,81,16,0,0,97,0,97,gru_v3_w3.0,test,attack_type,live
0.5,0.9285714285714286,1.0,0.9285714285714286,0.9629629629629629,,,0.07142857142857142,,0.07142857142857142,0.9285714285714286,,0,0,2,26,28,28,0,gru_v3_w3.0,test,attack_type,print
0.5,0.5625,1.0,0.5625,0.72,,,0.4375,,0.4375,0.5625,,0,0,28,36,64,64,0,gru_v3_w3.0,test,attack_type,replay
0.5,0.71875,1.0,0.71875,0.8363636363636363,,,0.28125,,0.28125,0.71875,,0,0,9,23,32,32,0,gru_v3_w3.0,test,source_group,ATK_external_clip
0.5,0.5714285714285714,0.0,0.0,0.0,,,,0.42857142857142855,,,0.5714285714285714,12,9,0,0,21,0,21,gru_v3_w3.0,test,source_group,R_live_clip
0.5,0.8046875,0.8604651162790697,0.6607142857142857,0.7474747474747475,0.9250992063492064,0.9002637197460839,0.3392857142857143,0.08333333333333333,0.3392857142857143,0.6607142857142857,0.9166666666666666,66,6,19,37,128,56,72,gru_v3_w3.0,test,source_group,S_dataset_sequence
0.5,0.625,0.6666666666666666,0.5,0.5714285714285714,0.5,0.5666666666666667,0.5,0.25,0.5,0.5,0.75,3,1,2,2,8,4,4,gru_v3_w3.0,test,source_group,unknown
